0,1,2
060770034062003,06077,06
482999703002076,48299,48
471859351002055,47185,47
201137881002048,20113,20
060650430061061,06065,06
400310023013071,40031,40
180350020004003,18035,18
170978608081006,17097,17
391130042001022,39113,39
481410102172027,48141,48
340110411004009,34011,34
360810178002001,36081,36
240338067131004,24033,24
130670313121030,13067,13
371190043031019,37119,37
295101271001022,29510,29
010439648004051,01043,01
120860112021002,12086,12
051059528003107,05105,05
250173426002001,25017,25
484530017494011,48453,48
360010148012011,36001,36
040138124002067,04013,04
550679607003011,55067,55
517100035013059,51710,51
370899314002021,37089,37
080590112021004,08059,08
515500200033005,51550,51
350010037281000,35001,35
481872105061199,48187,48
130890217031000,13089,13
080010096042004,08001,08
490351119052013,49035,49
120860036021005,12086,12
160010022221043,16001,16
530630035002040,53063,53
550730003003018,55073,55
490490033002000,49049,49
060371174081001,06037,06
120950183002013,12095,12
470339611001002,47033,47
450450017001012,45045,45
061070013012022,06107,06
530330267002007,53033,53
360290063021013,36029,36
550790014001000,55079,55
120950183004035,12095,12
530610536031005,53061,53
121030206004006,12103,12
230039518001004,23003,23
060375730021005,06037,06
271230314001017,27123,27
280590402042044,28059,28
170315703002004,17031,17
483479505023007,48347,48
481410102121039,48141,48
250056141022048,25005,25
080050071052070,08005,08
081230010042012,08123,08
060372048102009,06037,06
120310010003001,12031,12
040131122012017,04013,04
121270832091120,12127,12
131510701102007,13151,13
170699709001048,17069,17
130630405091024,13063,13
060930001001186,06093,06
360610127005000,36061,36
290554501024027,29055,29
040133197031030,04013,04
320030038005003,32003,32
060750255001017,06075,06
060670081381000,06067,06
211199602001051,21119,21
120860010045009,12086,12
310550074711004,31055,31
410050225004015,41005,41
120111001031003,12011,12
120310173002023,12031,12
080130121023006,08013,08
040050011023000,04005,04
410510098012004,41051,41
350010007132000,35001,35
401091036021019,40109,40
271230347021002,27123,27
170318279012000,17031,17
171635022004016,17163,17
120632109003021,12063,12
350539783023041,35053,35
180973580002021,18097,18
010150015002030,01015,01
350010002042006,35001,35
482014502003024,48201,48
121270908033004,12127,12
371639707004010,37163,37
371570406012025,37157,37
410670320012003,41067,41
040190031016004,04019,04
410170004011048,41017,41
211510111002041,21151,21
517100048001003,51710,51
371190055245034,37119,37
021700008003042,02170,02
040136103002045,04013,04
060930007022139,06093,06
