FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
040134226421009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040135229011019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040135230031010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040135231022004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136103002045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136124002041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136144001001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136149001000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136152001015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136152002024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136162002015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136163001046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040136185002003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040137233042014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040138124002067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040138144001002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040139413002056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159505001022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159506005007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159515011006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159528002020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159530003016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159536022063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159538001075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159538002058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159539002133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040159550001019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040179606003070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040179613001048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040179613002022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040179625002032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190011001026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190013021016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190019003013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190021001031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190023001007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190024002000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190025013003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190025033017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190026041004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190026042004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190031016004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190037022006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190037071007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190040311023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190040442014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190041142015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190041151015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190043202008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190043231014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190044231001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190044242049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190044261010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190044272035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190044291034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040190047191002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040199410002000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210003091038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210003092041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210007003000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210013042058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210017021006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040210023001451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040250008011011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040250012002278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040250014022031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040250020021011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040250020022000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040270001001032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040270004031019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040270009032019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050059505002062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050070213043029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050070214081001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050097905022092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
