State;Violent Crime Rate;Date
GA;377.3;2014-11
HI;259.2;2014-11
ID;212.2;2014-11
IL;370;2014-11
IN;365.3;2014-11
IA;273.5;2014-11
KS;348.6;2014-11
KY;211.6;2014-11
LA;514.7;2014-11
ME;127.8;2014-11
MD;446.1;2014-11
MA;391.4;2014-11
MI;427.3;2014-11
MN;229.1;2014-11
MS;278.5;2014-11
MO;442.9;2014-11
MT;323.7;2014-11
NE;280.4;2014-11
NV;635.6;2014-11
NH;196.1;2014-11
NJ;261.2;2014-11
NM;597.4;2014-11
NY;381.8;2014-11
NC;329.5;2014-11
ND;265.1;2014-11
OH;284.9;2014-11
OK;406;2014-11
OR;232.3;2014-11
PA;314.1;2014-11
RI;219.2;2014-11
SC;497.7;2014-11
SD;326.5;2014-11
TN;608.4;2014-11
TX;405.9;2014-11
UT;215.6;2014-11
VT;99.3;2014-11
VA;196.2;2014-11
WA;285.2;2014-11
WV;302;2014-11
WI;290.3;2014-11
WY;195.5;2014-11
AL;427.4;2014-12
AK;635.8;2014-12
AZ;399.9;2014-12
AR;480.1;2014-12
CA;396.1;2014-12
CO;309.1;2014-12
CT;236.9;2014-12
DE;489.1;2014-12
FL;540.5;2014-12
GA;377.3;2014-12
HI;259.2;2014-12
ID;212.2;2014-12
IL;370;2014-12
IN;365.3;2014-12
IA;273.5;2014-12
KS;348.6;2014-12
KY;211.6;2014-12
LA;514.7;2014-12
